Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
RFB,Fertilizers by Product,004,Afghanistan,5157,Agricultural Use,4021,NPK fertilizers,2002,2002,t,17900,I,Imputed value
RFB,Fertilizers by Product,004,Afghanistan,5157,Agricultural Use,4021,NPK fertilizers,2003,2003,t,33200,I,Imputed value
RFB,Fertilizers by Product,004,Afghanistan,5157,Agricultural Use,4021,NPK fertilizers,2004,2004,t,47700,I,Imputed value
RFB,Fertilizers by Product,004,Afghanistan,5157,Agricultural Use,4001,Urea,2004,2004,t,42300,I,Imputed value
RFB,Fertilizers by Product,004,Afghanistan,5157,Agricultural Use,4001,Urea,2005,2005,t,20577,I,Imputed value
RFB,Fertilizers by Product,004,Afghanistan,5157,Agricultural Use,4001,Urea,2006,2006,t,68253,I,Imputed value
RFB,Fertilizers by Product,004,Afghanistan,5157,Agricultural Use,4001,Urea,2007,2007,t,61315,I,Imputed value
RFB,Fertilizers by Product,004,Afghanistan,5157,Agricultural Use,4001,Urea,2008,2008,t,50628,I,Imputed value
RFB,Fertilizers by Product,004,Afghanistan,5157,Agricultural Use,4001,Urea,2009,2009,t,76599,I,Imputed value
RFB,Fertilizers by Product,004,Afghanistan,5157,Agricultural Use,4001,Urea,2010,2010,t,72084,I,Imputed value
RFB,Fertilizers by Product,004,Afghanistan,5157,Agricultural Use,4001,Urea,2011,2011,t,107228,I,Imputed value
RFB,Fertilizers by Product,004,Afghanistan,5157,Agricultural Use,4001,Urea,2018,2018,t,519122,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4003,Ammonium nitrate (AN),2002,2002,t,46293,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4003,Ammonium nitrate (AN),2003,2003,t,44687,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4003,Ammonium nitrate (AN),2004,2004,t,44401,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4003,Ammonium nitrate (AN),2005,2005,t,46582,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4003,Ammonium nitrate (AN),2006,2006,t,35515,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4003,Ammonium nitrate (AN),2007,2007,t,36037,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4003,Ammonium nitrate (AN),2008,2008,t,33689,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4003,Ammonium nitrate (AN),2009,2009,t,38464,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4003,Ammonium nitrate (AN),2010,2010,t,34993,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4003,Ammonium nitrate (AN),2011,2011,t,36736,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4003,Ammonium nitrate (AN),2012,2012,t,35791,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4003,Ammonium nitrate (AN),2013,2013,t,32864.2,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4003,Ammonium nitrate (AN),2014,2014,t,32864,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4003,Ammonium nitrate (AN),2015,2015,t,37586,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4003,Ammonium nitrate (AN),2016,2016,t,42308,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4003,Ammonium nitrate (AN),2017,2017,t,43967,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4003,Ammonium nitrate (AN),2018,2018,t,14116.8,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4003,Ammonium nitrate (AN),2019,2019,t,29782.84,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4003,Ammonium nitrate (AN),2020,2020,t,20077,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4002,Ammonium sulphate,2005,2005,t,18,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4002,Ammonium sulphate,2006,2006,t,45,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4002,Ammonium sulphate,2007,2007,t,54,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4002,Ammonium sulphate,2017,2017,t,199.9,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4002,Ammonium sulphate,2018,2018,t,261.99,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4002,Ammonium sulphate,2019,2019,t,757.6,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4002,Ammonium sulphate,2020,2020,t,913,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2005,2005,t,2,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2006,2006,t,5,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2007,2007,t,118,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2019,2019,t,470.4,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2002,2002,t,39537,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2003,2003,t,43540,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2004,2004,t,25928,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2005,2005,t,27535,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2006,2006,t,22952,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2007,2007,t,23957,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2008,2008,t,20696,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2009,2009,t,24710,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2010,2010,t,26889,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2011,2011,t,29262,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2012,2012,t,25657,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2013,2013,t,26460.9,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2014,2014,t,26461,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2015,2015,t,30010.5,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2016,2016,t,33560,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2017,2017,t,3181,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2018,2018,t,7938.55,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2019,2019,t,15886,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2020,2020,t,11039,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4023,Monoammonium phosphate (MAP),2006,2006,t,24,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4023,Monoammonium phosphate (MAP),2007,2007,t,71,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4021,NPK fertilizers,2004,2004,t,754,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4021,NPK fertilizers,2005,2005,t,743,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4021,NPK fertilizers,2006,2006,t,947,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4021,NPK fertilizers,2007,2007,t,2172,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4021,NPK fertilizers,2008,2008,t,2824,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4021,NPK fertilizers,2009,2009,t,1650,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4021,NPK fertilizers,2010,2010,t,1994,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4021,NPK fertilizers,2011,2011,t,2468,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4021,NPK fertilizers,2012,2012,t,3366,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4021,NPK fertilizers,2013,2013,t,3520,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4021,NPK fertilizers,2014,2014,t,3520,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4021,NPK fertilizers,2015,2015,t,3560,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4021,NPK fertilizers,2016,2016,t,3600,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4021,NPK fertilizers,2017,2017,t,2105,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4021,NPK fertilizers,2018,2018,t,15039.1,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4021,NPK fertilizers,2019,2019,t,25400,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4021,NPK fertilizers,2020,2020,t,32677,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4024,Other NP compounds,2007,2007,t,1997,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4024,Other NP compounds,2008,2008,t,2727,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4024,Other NP compounds,2009,2009,t,1835,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4027,PK compounds,2005,2005,t,1500,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4027,PK compounds,2006,2006,t,38,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4027,PK compounds,2007,2007,t,148,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4016,Potassium chloride (muriate of potash) (MOP),2005,2005,t,26,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4016,Potassium chloride (muriate of potash) (MOP),2006,2006,t,27,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4016,Potassium chloride (muriate of potash) (MOP),2007,2007,t,10,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4016,Potassium chloride (muriate of potash) (MOP),2018,2018,t,381.31,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4016,Potassium chloride (muriate of potash) (MOP),2019,2019,t,543.98,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4016,Potassium chloride (muriate of potash) (MOP),2020,2020,t,370,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4025,Potassium nitrate,2005,2005,t,9,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4025,Potassium nitrate,2006,2006,t,39,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4025,Potassium nitrate,2007,2007,t,11,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4017,Potassium sulphate (sulphate of potash) (SOP),2005,2005,t,147,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4017,Potassium sulphate (sulphate of potash) (SOP),2006,2006,t,89,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4017,Potassium sulphate (sulphate of potash) (SOP),2007,2007,t,4,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4017,Potassium sulphate (sulphate of potash) (SOP),2013,2013,t,528,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4017,Potassium sulphate (sulphate of potash) (SOP),2014,2014,t,528,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4017,Potassium sulphate (sulphate of potash) (SOP),2015,2015,t,527.5,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4017,Potassium sulphate (sulphate of potash) (SOP),2016,2016,t,527,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4017,Potassium sulphate (sulphate of potash) (SOP),2017,2017,t,637,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4017,Potassium sulphate (sulphate of potash) (SOP),2018,2018,t,189.45,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4017,Potassium sulphate (sulphate of potash) (SOP),2019,2019,t,108.44,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4017,Potassium sulphate (sulphate of potash) (SOP),2020,2020,t,431,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4005,Sodium nitrate,2019,2019,t,13.93,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4012,Superphosphates above 35%,2004,2004,t,22354,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4012,Superphosphates above 35%,2005,2005,t,22518,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4012,Superphosphates above 35%,2006,2006,t,19419,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4012,Superphosphates above 35%,2007,2007,t,17285,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4012,Superphosphates above 35%,2008,2008,t,17493,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4012,Superphosphates above 35%,2009,2009,t,20084,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4012,Superphosphates above 35%,2010,2010,t,19490,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4012,Superphosphates above 35%,2011,2011,t,20675,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4012,Superphosphates above 35%,2012,2012,t,21431,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4012,Superphosphates above 35%,2013,2013,t,22187.95,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4012,Superphosphates above 35%,2014,2014,t,22188,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4012,Superphosphates above 35%,2015,2015,t,31275,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4012,Superphosphates above 35%,2016,2016,t,40362,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4012,Superphosphates above 35%,2017,2017,t,42358,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4012,Superphosphates above 35%,2018,2018,t,16196.67,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4012,Superphosphates above 35%,2019,2019,t,8631,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4012,Superphosphates above 35%,2020,2020,t,28085,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4013,"Superphosphates, other",2005,2005,t,11059,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4013,"Superphosphates, other",2006,2006,t,11797,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4013,"Superphosphates, other",2007,2007,t,15897,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4001,Urea,2002,2002,t,33896,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4001,Urea,2003,2003,t,31676,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4001,Urea,2004,2004,t,35794,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4001,Urea,2005,2005,t,35952,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4001,Urea,2006,2006,t,30789,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4001,Urea,2007,2007,t,32116,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4001,Urea,2008,2008,t,28935,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4001,Urea,2009,2009,t,35564,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4001,Urea,2010,2010,t,31371,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4001,Urea,2011,2011,t,41193,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4001,Urea,2012,2012,t,38763,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4001,Urea,2013,2013,t,31329.23,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4001,Urea,2014,2014,t,31329,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4001,Urea,2015,2015,t,39732,I,Imputed value
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4001,Urea,2016,2016,t,48135,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4001,Urea,2017,2017,t,51234,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4001,Urea,2018,2018,t,35435.04,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4001,Urea,2019,2019,t,46520,A,Official figure
RFB,Fertilizers by Product,008,Albania,5157,Agricultural Use,4001,Urea,2020,2020,t,40810,A,Official figure
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4007,"Ammonia, anhydrous",2012,2012,t,0,E,Estimated value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4007,"Ammonia, anhydrous",2013,2013,t,0,E,Estimated value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4007,"Ammonia, anhydrous",2014,2014,t,0,E,Estimated value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4007,"Ammonia, anhydrous",2015,2015,t,0,E,Estimated value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4007,"Ammonia, anhydrous",2016,2016,t,0,E,Estimated value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4003,Ammonium nitrate (AN),2009,2009,t,7004,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4003,Ammonium nitrate (AN),2010,2010,t,24541,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4003,Ammonium nitrate (AN),2011,2011,t,49000,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4003,Ammonium nitrate (AN),2012,2012,t,13000,E,Estimated value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4003,Ammonium nitrate (AN),2013,2013,t,13000,E,Estimated value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4003,Ammonium nitrate (AN),2014,2014,t,85000,E,Estimated value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4003,Ammonium nitrate (AN),2015,2015,t,85000,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4003,Ammonium nitrate (AN),2016,2016,t,85000,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4002,Ammonium sulphate,2009,2009,t,7946,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4002,Ammonium sulphate,2010,2010,t,6102,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4002,Ammonium sulphate,2011,2011,t,8228.53,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2007,2007,t,1000,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2008,2008,t,1000,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2009,2009,t,3300,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2010,2010,t,59.96,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2012,2012,t,9000,E,Estimated value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2013,2013,t,9000,E,Estimated value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2014,2014,t,9000,E,Estimated value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2015,2015,t,9000,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4022,Diammonium phosphate (DAP),2016,2016,t,9000,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4023,Monoammonium phosphate (MAP),2007,2007,t,7681,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4023,Monoammonium phosphate (MAP),2009,2009,t,3432,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4023,Monoammonium phosphate (MAP),2010,2010,t,7048.96,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4023,Monoammonium phosphate (MAP),2011,2011,t,9953.02,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4021,NPK fertilizers,2007,2007,t,61000,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4021,NPK fertilizers,2008,2008,t,42000,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4021,NPK fertilizers,2009,2009,t,40242,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4021,NPK fertilizers,2010,2010,t,80960,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4021,NPK fertilizers,2011,2011,t,48000,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4021,NPK fertilizers,2012,2012,t,190069.1,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4021,NPK fertilizers,2013,2013,t,203395.15,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4021,NPK fertilizers,2014,2014,t,199893.27,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4021,NPK fertilizers,2015,2015,t,178451.28,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4021,NPK fertilizers,2016,2016,t,158115,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4024,Other NP compounds,2007,2007,t,31,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4024,Other NP compounds,2008,2008,t,8078,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4024,Other NP compounds,2009,2009,t,6,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4024,Other NP compounds,2011,2011,t,10080.22,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4011,Phosphate rock,2012,2012,t,0,E,Estimated value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4011,Phosphate rock,2013,2013,t,0,E,Estimated value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4011,Phosphate rock,2014,2014,t,0,E,Estimated value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4011,Phosphate rock,2015,2015,t,0,E,Estimated value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4011,Phosphate rock,2016,2016,t,0,E,Estimated value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4027,PK compounds,2008,2008,t,38,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4027,PK compounds,2009,2009,t,2657,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4027,PK compounds,2010,2010,t,3517,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4027,PK compounds,2011,2011,t,6545.93,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4016,Potassium chloride (muriate of potash) (MOP),2010,2010,t,4215,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4016,Potassium chloride (muriate of potash) (MOP),2011,2011,t,4684.39,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4016,Potassium chloride (muriate of potash) (MOP),2012,2012,t,2,E,Estimated value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4025,Potassium nitrate,2010,2010,t,246,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4025,Potassium nitrate,2011,2011,t,264.91,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4017,Potassium sulphate (sulphate of potash) (SOP),2006,2006,t,34417,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4017,Potassium sulphate (sulphate of potash) (SOP),2008,2008,t,26051,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4017,Potassium sulphate (sulphate of potash) (SOP),2009,2009,t,22168,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4017,Potassium sulphate (sulphate of potash) (SOP),2010,2010,t,29293.25,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4017,Potassium sulphate (sulphate of potash) (SOP),2011,2011,t,39767.83,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4012,Superphosphates above 35%,2007,2007,t,70000,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4012,Superphosphates above 35%,2009,2009,t,32810,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4012,Superphosphates above 35%,2010,2010,t,15000,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4012,Superphosphates above 35%,2011,2011,t,26576,I,Imputed value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4012,Superphosphates above 35%,2012,2012,t,39000,E,Estimated value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4012,Superphosphates above 35%,2013,2013,t,36000,E,Estimated value
RFB,Fertilizers by Product,012,Algeria,5157,Agricultural Use,4012,Superphosphates above 35%,2014,2014,t,36000,E,Estimated value
